,Site,Lat,Lon,Elev,Climate,continent,country_code
73293,Tucuman,-26.787153,-65.206697,481.0,Cwa,South America,AR
73301,Calipso_Tuckahoe,38.979173,-75.932939,6.0,Cfa,North America,US
73303,Eforie,44.075,28.632222,40.0,Cfa,Europe,RO
73453,Shelton,40.750064,-98.760286,616.0,Dfa,North America,US
73467,Lumbini,27.49,83.28,110.0,Cwa,Asia,NP
75030,Teide,28.27,-16.639,3555.0,Csb,Europe,ES
75033,Caldwell_Parish_HS,32.060303,-92.096277,50.0,Cfa,North America,US
75044,T0_MAX_MEX,19.489944,-99.1485,2257.0,Cwb,North America,MX
75063,Kuujjuarapik,55.28,-77.76,20.0,Dfc,North America,CA
75081,Martova,49.936,36.953,120.0,Dfb,Europe,UA
75082,Tenosique,17.4875,-91.425556,20.0,Am,North America,MX
75220,NEON-Disney,28.125039,-81.4362,19.0,Cfa,North America,US
75225,Sodankyla,67.36662,26.62957,184.0,Dfc,Europe,FI
75232,Zhangye,39.078889,100.275556,1461.0,BWk,Asia,CN
75256,Narsarsuaq,61.155952,-45.419379,75.0,ET,North America,GL
75263,DRAGON_Henties_1,-22.052222,14.295125,60.0,BWk,Africa,NA
75267,UPC-GEAB-Valledupar,9.5596,-73.3293,157.0,Am,South America,CO
75415,Mexico_City,19.333611,-99.181667,2268.0,Cwb,North America,MX
76099,NEON_Sterling,40.461903,-103.029297,1372.0,BSk,North America,US
76226,Mainz,49.999,8.3,150.0,Cfb,Europe,DE
76495,Ubon_Ratchathani,15.245518,104.871011,120.0,Aw,Asia,TH
77867,Quito_USFQ,-0.196244,-78.435589,2414.0,ET,South America,EC
77869,Mobile_S_050608,26.12513,80.53282,103.0,Cwa,Asia,IN
77870,MCO-Hanimaadhoo,6.77635,73.183183,13.0,Am,Asia,MV
78876,Fowlers_Gap,-31.0863,141.70082,181.0,BWh,Oceania,AU
78899,Munich_University,48.148,11.573,533.0,Cfb,Europe,DE
79040,Pioneer_JC,1.384333,103.754528,25.0,Af,Asia,SG
79057,NEON_NOGP,46.769719,-100.91535,578.0,Dfb,North America,US
79236,DRAGON_SHADY,38.840658,-76.506108,3.0,Cfa,North America,US
79254,NEON_LENO,31.853881,-88.161219,43.0,Cfa,North America,US
79298,Porquerolles,43.001389,6.161389,22.0,Csb,Europe,FR
79321,Irkutsk,51.799797,103.086644,670.0,Dwc,Europe,RU
79391,Chilbolton,51.14446,-1.43698,88.0,Cfb,Europe,GB
79581,IMPROVE-MammothCave,37.1318,-86.1479,235.0,Cfa,North America,US
79623,ASI_Malindi,-2.996,40.1945,12.0,As,Africa,KE
79674,Palangkaraya,-2.22799,113.94624,27.0,Af,Asia,ID
79832,Bordj_Badji_Mokhtar,21.38,0.92,420.0,BWh,Africa,DZ
79876,Hamburg,53.568333,9.973333,120.0,Cfb,Europe,DE
80045,NEON_SRER,31.910681,-110.835489,983.0,Csa,North America,US
80050,Tremiti,42.117965,15.490115,40.0,Csa,Europe,IT
80054,Durban_UKZN,-29.817233,30.944011,205.0,Cfb,Africa,ZA
80167,DRAGON_EaglePoint,39.397778,-76.27,4.0,Cfa,North America,US
80175,Dhadnah,25.512817,56.324717,81.0,BWh,Asia,AE
81773,Karunya_University,10.9353,76.7441,478.0,Aw,Asia,IN
82288,TOULOUSE,43.561944,1.476389,150.0,Cfb,Europe,FR
82289,Porto_Nacional,-10.7,-48.41,210.0,Aw,South America,BR
82294,Autilla,41.997222,-4.603056,873.0,Csb,Europe,ES
82321,Chiang_Mai,18.813333,98.986944,324.0,Aw,Asia,TH
82370,Hong_Kong_Hok_Tsui,22.2097,114.258,80.0,Cwa,Asia,CN
82593,Bari_University,41.108327,16.883983,12.0,Csa,Europe,IT
82663,Red_River_Delta,20.72853,106.1277,4.0,Cwa,Asia,VN
82674,Gozo,36.034139,14.264694,111.0,Csa,Europe,MT
82860,KITcube_Masada,31.322547,35.372297,-350.0,BSh,Asia,IL
82888,Iqaluit,63.747575,-68.542997,15.0,ET,North America,CA
82896,DRAGON_BTMDL,39.238826,-76.441601,5.0,Cfa,North America,US
82902,Oxford,51.759,-1.256,87.0,Cfb,Europe,GB
82912,Karachi,24.94574,67.13594,49.0,BWh,Asia,PK
84887,Carpentras,44.083333,5.058333,107.0,Cfb,Europe,FR
85278,UNC-Gaitan,4.31068,-72.3518,192.0,Af,South America,CO
85300,Cape_Fuguei_Station,25.297452,121.537859,40.0,Cfa,Asia,TW
85614,Wallops_ACHIEVE,37.933486,-75.471,13.5,Cfa,North America,US
85617,IIT_Delhi,28.545,77.1926,15.0,BSh,Asia,IN
86168,Croisic_UTLN,47.293606,-2.5134,6.0,Cfb,Europe,FR
86171,DRAGON_Anmyeon,36.53863,126.33002,58.6,Cwa,Asia,KR
86237,Huelva,37.0163,-6.5687,25.0,Csa,Europe,ES
86320,THALA,35.55,8.683333,1091.0,BSk,Africa,TN
86366,AAOT,45.3139,12.5083,10.0,Cfa,Europe,IT
86533,Oujda,34.65331,-1.89846,620.0,Csa,Africa,MA
86693,Lille,50.611667,3.141667,60.0,Cfb,Europe,FR
87256,Shagaya_Park,29.209072,47.060528,242.0,BWh,Asia,KW
88960,CARTEL,45.379754,-71.93133,251.0,Dfb,North America,CA
89102,DRAGON_CPSDN,39.110656,-76.462915,24.0,Cfa,North America,US
89107,Rio_de_Janeiro_UFRJ,-22.857306,-43.233806,21.0,Am,South America,BR
89115,Dunhuang_LZU,40.49237,94.95503,1061.0,BWk,Asia,CN
89141,Solar_Village,24.906933,46.397286,764.0,BWh,Asia,SA
93514,DRAGON_FLLST,39.522366,-76.413318,151.0,Cfa,North America,US
93541,Tuxtla_Gutierrez,16.754722,-93.152222,590.0,Aw,North America,MX
93863,Zhongshan_Univ,23.06,113.39,27.0,Cfa,Asia,CN
93864,Karlsruhe,49.0933,8.4279,140.0,Cfb,Europe,DE
94054,Taipei_CWB,25.014683,121.53837,26.0,Cfa,Asia,TW
94920,Moldova,47.0008,28.8156,205.0,Dfb,Europe,MD
95625,UCLA,34.069605,-118.442752,131.0,Csb,North America,US
95676,Solwezi,-12.170667,26.363333,1390.0,Cwa,Africa,ZM
95740,Baneasa,44.511333,26.077806,127.0,Cfa,Europe,RO
95748,Ahmedabad,23.016667,72.516667,55.0,BSh,Asia,IN
95763,Penn_State_Univ,40.7421,-78.0809,401.0,Dfb,North America,US
95772,Belterra,-2.648483,-54.95165,132.0,Am,South America,BR
95862,Santiago_Beauchef,-33.457222,-70.661666,560.0,Csb,South America,CL
96051,Helsinki,60.203733,24.96065,52.8,Dfb,Europe,FI
96084,DRAGON_CLLGP,38.9911,-76.9086,65.0,Cfa,North America,US
96133,DRAGON_BLDND,39.258315,-76.519504,11.0,Cfa,North America,US
96168,Rio_Piedras,18.40185,-66.051483,30.0,Af,North America,US
96171,SERC,38.888901,-76.555795,36.5,Cfa,North America,US
96736,Tamanrasset_INM,22.79,5.53,1377.0,BWh,Africa,DZ
98258,Sao_Martinho_SONDA,-29.443333,-53.823444,489.0,Cfa,South America,BR
98290,DRAGON_UMRLB,38.891262,-76.814106,44.0,Cfa,North America,US
98306,Chapais,49.822433,-74.9754,373.44,Dfc,North America,CA
98343,CRPSM_Malindi,-2.996,40.1945,12.0,As,Africa,KE
98424,DRAGON_Sinjeong,37.52341,126.85863,27.1,Dwa,Asia,KR
98488,DRAGON_Drummond,36.70556,-119.74139,90.0,BSk,North America,US
98489,Eilat,29.5025,34.9175,15.0,BWh,Asia,IL
99443,Appledore_Island,42.987064,-70.615361,35.0,Dfb,North America,US
99452,IIT_KGP_EXT_Kolkata,22.574,88.418,10.0,Aw,Asia,IN
99529,OHP_OBSERVATOIRE,43.935,5.71,680.0,Csa,Europe,FR
99647,Thessaloniki,40.63,22.96,60.0,Csa,Europe,GR
101207,Bolzano,46.4569,11.33,262.0,Cfb,Europe,IT
101213,Camaguey,21.4223,-77.8499,122.0,Aw,North America,CU
101294,DRAGON_St_Johns_Is,1.21795,103.849615,15.0,Af,Asia,SG
101305,Soverato_IMAA,38.689444,16.545278,40.0,Csa,Europe,IT
101325,Medellin,6.260672,-75.577914,1471.0,Am,South America,CO
101339,Nong_Khai,17.8772,102.71671,175.0,Aw,Asia,TH
102400,Cagliari,39.281,9.052333,10.0,Csa,Europe,IT
102405,Lake_Erie,41.8256,-83.1936,173.5,Dfa,North America,US
102419,Bonanza,-21.825556,19.590278,1382.0,BSh,Africa,NA
102614,NEON_UKFS,39.040431,-95.19215,321.0,Cfa,North America,US
102704,COVE,36.9,-75.71,37.0,Cfa,nan,nan
103115,DRAGON_BLTIM,39.263145,-76.651066,17.0,Cfa,North America,US
103124,NEON_RMNP,40.2759,-105.545972,2750.0,Dfc,North America,US
103148,DRAGON_Deer_Park,29.670046,-95.128485,10.0,Cfa,North America,US
103160,Rochester,43.2337,-77.5864,107.0,Dfa,North America,US
103165,Zinder_DMN,13.775417,8.9841,460.0,BSh,Africa,NE
103321,ARM_Nainital,29.35883,79.45827,1943.0,Cwa,Asia,IN
103340,SEDE_BOKER,30.855,34.782222,480.0,BSh,Asia,IL
104611,Sioux_Falls,43.736481,-96.625991,505.0,Dfa,North America,US
104885,Montsec,42.051417,0.729689,1574.0,Cfb,Europe,ES
